ID,Name,Age,Gender,Department,Salary,Experience_Years,Join_Date,City,Remote
1,Person_1,56,Other,Tech,86661,23,2013-04-29,Hyderabad,Yes
2,Person_2,46,Other,Sales,61024,3,2014-03-12,Chennai,Yes
3,Person_3,32,Female,Marketing,100313,24,2019-06-03,Delhi,No
4,Person_4,25,Female,Tech,83006,20,2012-04-03,Kolkata,Yes
5,Person_5,38,Male,HR,45338,24,2012-07-17,Chennai,No
6,Person_6,56,Other,Marketing,98027,3,2010-05-14,Delhi,No
7,Person_7,36,Other,Marketing,110135,9,2015-10-07,Chennai,Yes
8,Person_8,40,Other,HR,49508,4,2019-12-07,Kolkata,No
9,Person_9,28,Male,Tech,33051,8,2015-01-27,Bangalore,No
10,Person_10,28,Male,HR,78747,23,2021-06-07,Bangalore,No
11,Person_11,41,Female,Marketing,117142,2,2018-01-12,Bangalore,Yes
12,Person_12,53,Male,Finance,117235,16,2018-12-29,Bangalore,No
13,Person_13,57,Other,Finance,84021,2,2021-10-08,Mumbai,No
14,Person_14,41,Other,Sales,96412,15,2017-09-12,Bangalore,No
15,Person_15,20,Male,HR,88335,3,2013-06-04,Kolkata,Yes
16,Person_16,39,Other,HR,86179,17,2019-08-14,Hyderabad,No
17,Person_17,19,Other,Sales,62093,16,2013-06-10,Hyderabad,Yes
18,Person_18,41,Male,Sales,99678,6,2019-03-31,Mumbai,Yes
19,Person_19,47,Male,Sales,110738,23,2019-07-19,Bangalore,Yes
20,Person_20,55,Other,Marketing,69734,22,2019-10-25,Bangalore,Yes
21,Person_21,19,Other,HR,102615,4,2013-10-28,Bangalore,Yes
22,Person_22,38,Other,Marketing,103523,11,2019-12-17,Chennai,Yes
23,Person_23,50,Female,Sales,47019,16,2019-02-13,Delhi,No
24,Person_24,29,Female,HR,113613,22,2017-05-27,Chennai,Yes
25,Person_25,39,Female,Marketing,116672,12,2011-04-16,Delhi,No
26,Person_26,42,Male,Marketing,103847,22,2013-09-15,Bangalore,No
27,Person_27,44,Female,Sales,112750,24,2017-08-15,Bangalore,Yes
28,Person_28,59,Male,HR,109634,2,2017-10-02,Chennai,No
29,Person_29,45,Male,Sales,58251,8,2010-12-24,Chennai,No
30,Person_30,33,Female,HR,55945,16,2018-04-08,Delhi,No
31,Person_31,32,Female,Finance,62217,16,2011-10-30,Hyderabad,No
32,Person_32,20,Female,Tech,38308,19,2022-03-27,Delhi,Yes
33,Person_33,54,Other,Tech,35949,15,2013-02-19,Chennai,No
34,Person_34,24,Female,Tech,81990,24,2021-06-17,Kolkata,Yes
35,Person_35,38,Other,Sales,31150,21,2020-03-08,Chennai,No
36,Person_36,26,Male,Finance,119480,12,2017-07-08,Kolkata,No
37,Person_37,56,Other,HR,104740,18,2011-06-24,Mumbai,Yes
38,Person_38,35,Female,Marketing,96617,16,2017-08-11,Chennai,No
39,Person_39,21,Male,HR,46896,3,2021-04-29,Mumbai,No
40,Person_40,42,Male,Marketing,76175,11,2020-05-03,Hyderabad,No
41,Person_41,31,Male,HR,37805,8,2016-11-13,Delhi,Yes
42,Person_42,26,Other,Finance,35237,18,2017-08-11,Kolkata,No
43,Person_43,43,Female,Marketing,50056,11,2012-07-13,Delhi,Yes
44,Person_44,19,Male,Sales,75543,8,2018-02-04,Mumbai,No
45,Person_45,37,Male,HR,86556,6,2014-05-01,Kolkata,Yes
46,Person_46,45,Male,HR,33343,13,2019-02-07,Delhi,Yes
47,Person_47,24,Other,Marketing,43500,19,2022-04-13,Chennai,No
48,Person_48,25,Other,Sales,83222,18,2010-09-13,Bangalore,No
49,Person_49,52,Female,Sales,59375,14,2015-01-13,Mumbai,Yes
50,Person_50,31,Other,Finance,39662,15,2015-04-29,Delhi,Yes
51,Person_51,34,Male,Sales,46964,20,2010-01-10,Mumbai,No
52,Person_52,53,Female,Sales,89638,4,2017-11-11,Mumbai,Yes
53,Person_53,57,Male,Sales,103666,2,2012-03-08,Kolkata,No
54,Person_54,21,Male,Tech,115067,11,2012-10-12,Kolkata,No
55,Person_55,19,Other,Finance,97215,24,2014-12-30,Bangalore,No
56,Person_56,23,Female,HR,99042,19,2022-03-28,Chennai,No
57,Person_57,59,Other,Marketing,43284,20,2018-08-03,Mumbai,Yes
58,Person_58,21,Other,HR,102789,3,2016-01-03,Delhi,No
59,Person_59,46,Female,Finance,114664,20,2010-08-12,Hyderabad,Yes
60,Person_60,35,Male,Marketing,91389,22,2021-05-21,Mumbai,No
61,Person_61,43,Male,Finance,39435,15,2020-09-30,Mumbai,Yes
62,Person_62,51,Female,Sales,84340,24,2020-12-14,Bangalore,No
63,Person_63,27,Male,Marketing,74078,6,2014-06-22,Chennai,Yes
64,Person_64,53,Female,Sales,108832,12,2015-11-23,Hyderabad,Yes
65,Person_65,31,Female,HR,81293,20,2011-05-26,Kolkata,No
66,Person_66,48,Other,HR,108781,9,2011-01-20,Kolkata,No
67,Person_67,32,Female,Marketing,90403,6,2011-02-09,Delhi,No
68,Person_68,25,Other,Marketing,59124,13,2022-08-19,Hyderabad,No
69,Person_69,31,Male,Finance,73919,4,2022-07-08,Kolkata,Yes
70,Person_70,40,Male,Finance,65247,2,2015-06-24,Delhi,No
71,Person_71,57,Male,Sales,92752,22,2017-07-19,Chennai,Yes
72,Person_72,38,Male,Marketing,86573,10,2014-07-27,Delhi,Yes
73,Person_73,33,Other,HR,89101,10,2013-12-31,Kolkata,No
74,Person_74,35,Male,Finance,56646,17,2019-12-16,Bangalore,Yes
75,Person_75,41,Female,Finance,53049,14,2017-06-17,Bangalore,Yes
76,Person_76,43,Female,HR,109605,11,2021-06-10,Bangalore,Yes
77,Person_77,42,Female,Finance,98385,8,2015-08-11,Kolkata,Yes
78,Person_78,58,Other,Sales,70158,9,2021-05-09,Bangalore,No
79,Person_79,46,Male,Marketing,95417,11,2011-12-18,Hyderabad,No
80,Person_80,32,Male,HR,53289,16,2022-06-11,Chennai,No
81,Person_81,18,Male,Marketing,39823,5,2022-07-20,Delhi,No
82,Person_82,42,Other,Finance,90160,6,2014-12-29,Delhi,Yes
83,Person_83,24,Female,Finance,71975,13,2015-09-13,Kolkata,Yes
84,Person_84,26,Female,HR,39540,12,2019-05-13,Bangalore,No
85,Person_85,41,Male,Sales,46364,7,2014-04-24,Bangalore,No
86,Person_86,18,Female,Tech,34611,9,2010-09-07,Mumbai,No
87,Person_87,25,Female,HR,57663,8,2011-11-05,Chennai,Yes
88,Person_88,41,Other,Tech,81991,17,2022-05-31,Hyderabad,No
89,Person_89,28,Other,Tech,87679,1,2015-12-06,Delhi,No
90,Person_90,34,Other,Sales,60977,4,2012-02-10,Mumbai,No
91,Person_91,25,Other,Tech,79115,4,2020-11-06,Mumbai,Yes
92,Person_92,52,Male,Tech,118223,5,2021-12-12,Kolkata,Yes
93,Person_93,52,Other,Sales,90890,18,2015-06-08,Delhi,Yes
94,Person_94,50,Female,Tech,96387,7,2012-12-13,Kolkata,Yes
95,Person_95,22,Male,Tech,48071,15,2010-08-24,Hyderabad,Yes
96,Person_96,59,Female,Tech,89275,12,2011-01-24,Mumbai,Yes
97,Person_97,56,Female,HR,102369,0,2018-04-26,Mumbai,Yes
98,Person_98,58,Female,HR,41938,21,2015-01-23,Chennai,Yes
99,Person_99,45,Other,HR,65195,19,2022-12-03,Hyderabad,No
100,Person_100,24,Other,Sales,34000,16,2017-09-15,Mumbai,No
101,Person_101,26,Male,Finance,100588,6,2019-03-29,Hyderabad,Yes
102,Person_102,25,Male,Tech,68304,24,2018-12-23,Delhi,Yes
103,Person_103,29,Other,Tech,99449,12,2013-06-06,Bangalore,No
104,Person_104,51,Female,Sales,112986,3,2020-11-25,Mumbai,Yes
105,Person_105,50,Male,Tech,119643,3,2022-10-18,Chennai,Yes
106,Person_106,40,Other,HR,50764,5,2015-10-24,Delhi,Yes
107,Person_107,41,Other,Finance,116027,18,2022-05-28,Hyderabad,No
108,Person_108,54,Other,Marketing,68494,11,2015-11-21,Kolkata,No
109,Person_109,52,Female,Tech,33373,21,2013-08-22,Delhi,No
110,Person_110,57,Other,HR,42161,6,2013-09-20,Mumbai,No
111,Person_111,39,Other,Marketing,57350,9,2016-10-18,Hyderabad,No
112,Person_112,44,Other,Finance,55351,18,2022-06-09,Bangalore,Yes
113,Person_113,52,Other,Marketing,118668,6,2015-07-11,Delhi,No
114,Person_114,18,Male,HR,45305,2,2013-08-24,Mumbai,Yes
115,Person_115,52,Male,Marketing,105353,12,2021-11-23,Chennai,Yes
116,Person_116,54,Other,Sales,106797,12,2021-09-01,Kolkata,No
117,Person_117,31,Female,Marketing,95953,17,2013-09-20,Hyderabad,No
118,Person_118,20,Male,Tech,87458,19,2022-09-12,Delhi,Yes
119,Person_119,18,Other,Tech,50358,7,2018-09-13,Delhi,Yes
120,Person_120,22,Male,Sales,33267,8,2015-10-30,Bangalore,Yes
121,Person_121,43,Male,HR,112745,6,2015-12-21,Bangalore,No
122,Person_122,31,Female,Tech,119588,0,2010-05-18,Chennai,No
123,Person_123,56,Other,Finance,68513,2,2019-07-05,Kolkata,No
124,Person_124,44,Other,Tech,56092,12,2017-10-03,Chennai,No
125,Person_125,26,Female,Tech,41338,24,2019-10-20,Mumbai,No
